응대ID,고객ID,제품ID,응대일시,응대채널,응대자,문의유형,상태,응대시간(분),만족도,처리완료일시,비고
SVC000001,CUST00576,PROD0018,2024-01-16 01:22:00,카톡,상담원17,프로모션 문의,해결완료,115,보통,2024-05-21 23:37:00,고객 피드백 있음
SVC000002,CUST00886,PROD0035,2024-06-14 04:44:00,이메일,상담원2,서비스 문의,대기중,77,불만족,2024-02-23 15:41:00,재문의 필요
SVC000003,CUST00980,PROD0026,2024-05-17 03:08:00,전화,상담원9,반품/교환,대기중,87,매우만족,,
SVC000004,CUST00284,PROD0016,2024-05-04 07:20:00,라이브채팅,상담원12,프로모션 문의,진행중,76,매우만족,,재문의 필요
SVC000005,CUST00121,PROD0006,2024-05-22 20:48:00,SNS,상담원19,제품 불량,해결완료,72,매우만족,,영구차단 고객
SVC000006,CUST00107,PROD0044,2024-03-29 14:46:00,SNS,상담원7,반품/교환,해결완료,9,만족,,재문의 필요
SVC000007,CUST00933,PROD0043,2024-02-19 00:44:00,전화,상담원9,배송 지연,대기중,87,매우만족,,긴급 처리
SVC000008,CUST00687,PROD0047,2024-04-06 11:46:00,카톡,상담원16,프로모션 문의,대기중,114,만족,2024-03-05 12:11:00,
SVC000009,CUST00997,PROD0047,2024-02-04 08:57:00,라이브채팅,상담원20,결제 오류,진행중,86,매우만족,2024-04-28 21:25:00,고객 피드백 있음
SVC000010,CUST00204,PROD0048,2024-01-11 15:45:00,전화,상담원11,가격 정보 문의,대기중,33,매우만족,2024-03-23 14:08:00,영구차단 고객
SVC000011,CUST00165,PROD0042,2024-04-22 17:18:00,카톡,상담원12,가격 정보 문의,대기중,87,보통,2024-04-18 21:20:00,영구차단 고객
SVC000012,CUST00305,PROD0012,2024-05-18 22:31:00,SNS,상담원15,제품 불량,대기중,10,불만족,2024-05-25 22:11:00,
SVC000013,CUST00497,PROD0013,2024-02-18 18:11:00,이메일,상담원18,기술 지원,해결완료,73,매우만족,,
SVC000014,CUST00632,PROD0004,2024-05-19 11:20:00,라이브채팅,상담원19,가격 정보 문의,해결완료,62,만족,2024-03-05 13:05:00,긴급 처리
SVC000015,CUST00556,PROD0039,2024-04-29 08:55:00,라이브채팅,상담원16,제품 불량,해결완료,47,매우만족,2024-03-26 04:02:00,영구차단 고객
SVC000016,CUST00824,PROD0002,2024-06-02 17:10:00,카톡,상담원15,기술 지원,해결완료,73,매우만족,2024-03-02 16:38:00,긴급 처리
SVC000017,CUST00156,PROD0026,2024-01-18 16:09:00,전화,상담원5,배송 지연,대기중,76,보통,2024-03-12 06:46:00,재문의 필요
SVC000018,CUST00367,PROD0027,2024-04-25 09:52:00,SNS,상담원11,기술 지원,미해결,95,보통,,
SVC000019,CUST00719,PROD0027,2024-03-08 17:23:00,카톡,상담원15,결제 오류,해결완료,41,불만족,,
SVC000020,CUST00902,PROD0015,2024-04-26 00:49:00,이메일,상담원18,프로모션 문의,미해결,111,만족,,
SVC000021,CUST00620,PROD0008,2024-06-12 16:24:00,이메일,상담원13,가격 정보 문의,진행중,62,불만족,2024-03-28 19:23:00,긴급 처리
SVC000022,CUST00251,PROD0007,2024-02-17 00:39:00,이메일,상담원4,서비스 문의,진행중,113,매우만족,2024-01-27 15:49:00,
SVC000023,CUST00957,PROD0047,2024-04-03 19:15:00,카톡,상담원17,제품 문의,진행중,106,매우만족,2024-05-08 06:13:00,
SVC000024,CUST00916,PROD0046,2024-03-23 23:04:00,SNS,상담원4,프로모션 문의,해결완료,41,매우만족,,
SVC000025,CUST00882,PROD0040,2024-06-17 17:52:00,라이브채팅,상담원16,배송 지연,해결완료,86,보통,2024-05-09 08:33:00,재문의 필요
SVC000026,CUST00334,PROD0012,2024-04-09 06:33:00,전화,상담원15,배송 지연,진행중,30,매우만족,2024-05-15 18:39:00,
SVC000027,CUST00642,PROD0013,2024-06-23 15:49:00,라이브채팅,상담원14,제품 불량,미해결,46,매우만족,2024-02-20 13:49:00,
SVC000028,CUST00969,PROD0043,2024-05-21 04:39:00,SNS,상담원12,계정 문제,진행중,20,보통,2024-01-11 14:46:00,긴급 처리
SVC000029,CUST00511,PROD0017,2024-03-13 10:26:00,라이브채팅,상담원3,기술 지원,해결완료,26,매우만족,2024-03-15 17:48:00,긴급 처리
SVC000030,CUST00293,PROD0017,2024-06-13 10:07:00,카톡,상담원10,기술 지원,해결완료,114,매우만족,2024-03-13 10:01:00,
SVC000031,CUST00020,PROD0036,2024-01-25 16:42:00,이메일,상담원8,제품 불량,미해결,27,매우만족,2024-06-09 02:30:00,긴급 처리
SVC000032,CUST00282,PROD0021,2024-01-18 01:53:00,SNS,상담원6,제품 문의,해결완료,51,매우만족,2024-04-16 14:58:00,
SVC000033,CUST00797,PROD0008,2024-02-03 05:55:00,SNS,상담원14,서비스 문의,미해결,71,보통,2024-05-26 07:59:00,고객 피드백 있음
SVC000034,CUST00001,PROD0005,2024-01-09 06:06:00,라이브채팅,상담원17,배송 지연,진행중,7,만족,2024-05-31 07:28:00,영구차단 고객
SVC000035,CUST00119,PROD0026,2024-05-04 06:06:00,카톡,상담원19,프로모션 문의,진행중,16,매우만족,,
SVC000036,CUST00035,PROD0016,2024-01-09 18:41:00,라이브채팅,상담원16,제품 문의,대기중,27,매우만족,2024-01-10 07:42:00,
SVC000037,CUST00198,PROD0036,2024-04-09 21:31:00,라이브채팅,상담원15,서비스 문의,해결완료,115,불만족,2024-03-06 12:16:00,긴급 처리
SVC000038,CUST00485,PROD0028,2024-05-14 19:44:00,SNS,상담원15,계정 문제,진행중,15,만족,,재문의 필요
SVC000039,CUST00757,PROD0029,2024-05-31 08:03:00,라이브채팅,상담원1,프로모션 문의,진행중,110,보통,,고객 피드백 있음
SVC000040,CUST00059,PROD0047,2024-04-03 07:38:00,이메일,상담원12,제품 불량,진행중,56,만족,,고객 피드백 있음
SVC000041,CUST00837,PROD0012,2024-01-19 00:59:00,라이브채팅,상담원10,프로모션 문의,대기중,115,매우만족,2024-03-02 12:00:00,영구차단 고객
SVC000042,CUST00161,PROD0037,2024-02-23 20:31:00,이메일,상담원14,결제 오류,해결완료,54,매우불만족,2024-01-20 08:34:00,고객 피드백 있음
SVC000043,CUST00691,PROD0030,2024-01-21 14:51:00,SNS,상담원10,계정 문제,진행중,61,만족,2024-05-19 13:01:00,
SVC000044,CUST00206,PROD0023,2024-06-12 01:23:00,카톡,상담원10,제품 불량,해결완료,68,매우만족,2024-06-12 09:49:00,
SVC000045,CUST00012,PROD0016,2024-05-22 23:56:00,이메일,상담원20,제품 불량,해결완료,50,만족,2024-01-14 15:37:00,
SVC000046,CUST00490,PROD0014,2024-04-16 11:50:00,카톡,상담원11,제품 불량,진행중,33,만족,,
SVC000047,CUST00276,PROD0010,2024-01-15 19:17:00,카톡,상담원16,가격 정보 문의,해결완료,74,매우만족,2024-03-14 03:54:00,
SVC000048,CUST00693,PROD0007,2024-05-15 01:46:00,이메일,상담원9,제품 문의,진행중,50,매우불만족,,고객 피드백 있음
SVC000049,CUST00242,PROD0045,2024-01-19 09:04:00,SNS,상담원15,서비스 문의,해결완료,20,불만족,2024-05-23 23:21:00,
SVC000050,CUST00216,PROD0037,2024-02-25 16:06:00,전화,상담원14,기술 지원,해결완료,102,매우만족,,
SVC000051,CUST00251,PROD0029,2024-01-26 23:14:00,카톡,상담원19,배송 지연,해결완료,55,만족,2024-01-04 21:27:00,
SVC000052,CUST00811,PROD0003,2024-05-16 12:12:00,카톡,상담원9,배송 지연,해결완료,105,보통,,재문의 필요
